neighborhood_municipality,indv_tested,cases,deaths,update_date
Northview Heights (Pittsburgh),216,17,3,2020-11-02
O'Hara,1769,108,1,2020-11-02
Oakdale,240,13,0,2020-11-02
Oakmont,2315,89,0,2020-11-02
Oakwood (Pittsburgh),119,10,0,2020-11-02
Ohio,1044,67,0,2020-11-02
Overbrook (Pittsburgh),537,38,1,2020-11-02
Penn Hills,6824,472,7,2020-11-02
Pennsbury Village,129,8,0,2020-11-02
Perry North (Pittsburgh),729,63,1,2020-11-02
Perry South (Pittsburgh),833,76,0,2020-11-02
Pine,2322,151,1,2020-11-02
Pitcairn,424,33,2,2020-11-02
Pleasant Hills,1422,137,2,2020-11-02
Plum,3957,281,3,2020-11-02
Point Breeze (Pittsburgh),1164,36,1,2020-11-02
Point Breeze North (Pittsburgh),430,24,0,2020-11-02
Polish Hill (Pittsburgh),251,3,0,2020-11-02
Port Vue,537,39,1,2020-11-02
Rankin,301,25,0,2020-11-02
Regent Square (Pittsburgh),207,5,1,2020-11-02
Reserve,465,37,2,2020-11-02
Richland,1928,187,31,2020-11-02
Ridgemont (Pittsburgh),379,3,0,2020-11-02
Robinson,2467,174,2,2020-11-02
Ross,5460,467,41,2020-11-02
Rosslyn Farms,45,3,0,2020-11-02
Scott,3243,326,22,2020-11-02
Sewickley,519,37,0,2020-11-02
Sewickley Heights,2969,16,0,2020-11-02
Sewickley Hills,90,5,0,2020-11-02
Shadyside (Pittsburgh),3068,221,14,2020-11-02
Shaler,4045,273,4,2020-11-02
Sharpsburg,557,27,1,2020-11-02
Sheraden (Pittsburgh),741,51,1,2020-11-02
South Fayette,2250,206,4,2020-11-02
South Oakland (Pittsburgh),580,90,1,2020-11-02
South Park,1733,132,0,2020-11-02
South Shore (Pittsburgh),49,3,0,2020-11-02
South Versailles,54,4,0,2020-11-02
Southside Flats (Pittsburgh),2378,254,0,2020-11-02
Southside Slopes (Pittsburgh),690,83,0,2020-11-02
Spring Garden (Pittsburgh),125,7,0,2020-11-02
Spring Hill-City View (Pittsburgh),506,30,0,2020-11-02
Springdale Borough,498,16,1,2020-11-02
Springdale Township,236,10,0,2020-11-02
Squirrel Hill North (Pittsburgh),3596,111,1,2020-11-02
Squirrel Hill South (Pittsburgh),3580,128,10,2020-11-02
St. Clair (Pittsburgh),25,0,0,2020-11-02
Stanton Heights (Pittsburgh),851,54,0,2020-11-02
Stowe,880,99,3,2020-11-02
Strip District (Pittsburgh),370,20,0,2020-11-02
Summer Hill (Pittsburgh),153,14,0,2020-11-02
Swisshelm Park (Pittsburgh),257,14,0,2020-11-02
Swissvale,1470,90,0,2020-11-02
Tarentum,660,32,1,2020-11-02
Terrace Village (Pittsburgh),291,30,0,2020-11-02
Thornburg,71,6,0,2020-11-02
Trafford,5,0,0,2020-11-02
Troy Hill (Pittsburgh),519,27,0,2020-11-02
Turtle Creek,898,69,6,2020-11-02
Undefined,1513,161,3,2020-11-02
Undefined (Pittsburgh),1,0,0,2020-11-02
Upper Hill (Pittsburgh),381,28,0,2020-11-02
Upper Lawrenceville (Pittsburgh),596,20,0,2020-11-02
Upper Saint Clair,3700,261,6,2020-11-02
Verona,405,18,0,2020-11-02
Versailles,234,28,0,2020-11-02
Wall,66,6,0,2020-11-02
West Deer,1816,68,0,2020-11-02
West Elizabeth,41,3,0,2020-11-02
West End (Pittsburgh),40,3,0,2020-11-02
West Homestead,295,31,0,2020-11-02
West Mifflin,2847,217,2,2020-11-02
West Oakland (Pittsburgh),664,54,1,2020-11-02
West View,967,54,0,2020-11-02
Westwood (Pittsburgh),482,60,0,2020-11-02
Whitaker,168,20,2,2020-11-02
White Oak,1119,68,2,2020-11-02
Whitehall,2533,396,7,2020-11-02
Wilkins,1077,56,0,2020-11-02
Wilkinsburg,2958,192,9,2020-11-02
Wilmerding,269,20,0,2020-11-02
Windgap (Pittsburgh),187,18,0,2020-11-02
