ID,STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
123,42,3,80400,42003080400,1369,825,W,430389,430389,42,3,80400,42003080400,1369,825,W,430389,430389,430389,430389,100,100,100,100,1369,100,100,825,100,100
124,42,3,80600,42003080600,1998,1226,W,404921,404921,42,3,80600,42003080600,1998,1226,W,404921,404921,404921,404921,100,100,100,100,1998,100,100,1226,100,100
125,42,3,80700,42003080700,1785,1163,W,275058,275058,42,3,80700,42003080700,1785,1163,W,275058,275058,275058,275058,100,100,100,100,1785,100,100,1163,100,100
126,42,3,80900,42003080900,1767,1102,W,380225,380225,42,3,80900,42003080900,1767,1102,W,380225,380225,380225,380225,100,100,100,100,1767,100,100,1102,100,100
127,42,3,90100,42003090100,1843,1124,W,802236,672176,42,3,90100,42003090100,1843,1124,P,817632,672298,802236,672176,100,100,98.12,99.98,1843,100,100,1124,100,100
132,42,3,101100,42003101100,2669,1442,P,1338209,1050357,42,3,90100,42003090100,1843,1124,P,817632,672298,993,122,0.07,0.01,0.12,0.02,0,0,0,0,0,0
565,42,3,427000,42003427000,3709,2091,P,1866064,1715524,42,3,90100,42003090100,1843,1124,P,817632,672298,126,0,0.01,0,0.02,0,0,0,0,0,0,0
574,42,3,427200,42003427200,4956,2400,P,5248173,4798203,42,3,90100,42003090100,1843,1124,P,817632,672298,14277,0,0.27,0,1.75,0,0,0,0,0,0,0
128,42,3,90200,42003090200,2639,1546,P,1818898,1818898,42,3,90200,42003090200,2635,1544,W,441855,441855,441855,441855,24.29,24.29,100,100,2635,99.85,100,1544,99.87,100
130,42,3,90300,42003090300,1629,979,W,254548,254548,42,3,90300,42003090300,1629,979,W,254548,254548,254548,254548,100,100,100,100,1629,100,100,979,100,100
131,42,3,100500,42003100500,2079,963,W,724266,724266,42,3,100500,42003100500,2079,963,W,724266,724266,724266,724266,100,100,100,100,2079,100,100,963,100,100
133,42,3,101100,42003101100,2669,1442,P,1338209,1050357,42,3,101100,42003101100,2669,1442,P,1355635,1049877,1323635,1049877,98.91,99.95,97.64,100,2669,100,100,1442,100,100
575,42,3,427200,42003427200,4956,2400,P,5248173,4798203,42,3,101100,42003101100,2669,1442,P,1355635,1049877,32000,0,0.61,0,2.36,0,0,0,0,0,0,0
134,42,3,101100,42003101100,2669,1442,P,1338209,1050357,42,3,101400,42003101400,3346,1643,P,1268278,965433,358,358,0.03,0.03,0.03,0.04,0,0,0,0,0,0
137,42,3,101400,42003101400,3346,1643,P,1309646,961437,42,3,101400,42003101400,3346,1643,P,1268278,965433,1263789,960944,96.5,99.95,99.65,99.54,3346,100,100,1643,100,100
142,42,3,101800,42003101800,2522,1260,P,1197706,1197706,42,3,101400,42003101400,3346,1643,P,1268278,965433,1109,1109,0.09,0.09,0.09,0.11,0,0,0,0,0,0
145,42,3,110600,42003110600,2424,1116,P,2342371,2079080,42,3,101400,42003101400,3346,1643,P,1268278,965433,3022,3022,0.13,0.15,0.24,0.31,0,0,0,0,0,0
140,42,3,101600,42003101600,857,391,W,464605,464605,42,3,101600,42003101600,857,391,W,464605,464605,464605,464605,100,100,100,100,857,100,100,391,100,100
141,42,3,101700,42003101700,1465,817,W,392498,392498,42,3,101700,42003101700,1465,817,W,392498,392498,392498,392498,100,100,100,100,1465,100,100,817,100,100
138,42,3,101400,42003101400,3346,1643,P,1309646,961437,42,3,101800,42003101800,2522,1260,P,1197090,1197090,493,493,0.04,0.05,0.04,0.04,0,0,0,0,0,0
143,42,3,101800,42003101800,2522,1260,P,1197706,1197706,42,3,101800,42003101800,2522,1260,P,1197090,1197090,1196597,1196597,99.91,99.91,99.96,99.96,2522,100,100,1260,100,100
144,42,3,110200,42003110200,3971,2156,W,815006,815006,42,3,110200,42003110200,3971,2156,W,815006,815006,815006,815006,100,100,100,100,3971,100,100,2156,100,100
146,42,3,110600,42003110600,2424,1116,P,2342371,2079080,42,3,110600,42003110600,2406,1108,W,635177,635177,635177,635177,27.12,30.55,100,100,2406,99.26,100,1108,99.28,100
149,42,3,111300,42003111300,2639,1524,W,537381,537381,42,3,111300,42003111300,2639,1524,W,537381,537381,537381,537381,100,100,100,100,2639,100,100,1524,100,100
150,42,3,111400,42003111400,1353,763,W,327622,327622,42,3,111400,42003111400,1353,763,W,327622,327622,327622,327622,100,100,100,100,1353,100,100,763,100,100
151,42,3,111500,42003111500,3230,1995,W,959979,959979,42,3,111500,42003111500,3230,1995,W,959979,959979,959979,959979,100,100,100,100,3230,100,100,1995,100,100
157,42,3,120300,42003120300,1650,922,W,1080487,1080487,42,3,120300,42003120300,1650,922,W,1080487,1080487,1080487,1080487,100,100,100,100,1650,100,100,922,100,100
158,42,3,120400,42003120400,869,493,W,436769,436769,42,3,120400,42003120400,869,493,W,436769,436769,436769,436769,100,100,100,100,869,100,100,493,100,100
159,42,3,120700,42003120700,818,532,W,515128,515128,42,3,120700,42003120700,818,532,W,515128,515128,515128,515128,100,100,100,100,818,100,100,532,100,100
160,42,3,120800,42003120800,859,399,W,716122,716122,42,3,120800,42003120800,859,399,W,716122,716122,716122,716122,100,100,100,100,859,100,100,399,100,100
161,42,3,130100,42003130100,1909,1072,P,766756,766756,42,3,130100,42003130100,1910,1073,P,772150,772150,760557,760557,99.19,99.19,98.5,98.5,1907,99.9,99.84,1071,99.91,99.81
167,42,3,130600,42003130600,3132,1511,P,1391566,1391566,42,3,130100,42003130100,1910,1073,P,772150,772150,13,13,0,0,0,0,0,0,0,0,0,0
1277,42,3,523100,42003523100,4174,1955,P,7192182,6842839,42,3,130100,42003130100,1910,1073,P,772150,772150,11580,11580,0.16,0.17,1.5,1.5,3,0.07,0.16,2,0.1,0.19
163,42,3,130200,42003130200,1370,734,W,348488,348488,42,3,130200,42003130200,1370,734,W,348488,348488,348488,348488,100,100,100,100,1370,100,100,734,100,100
164,42,3,130300,42003130300,1153,826,W,546308,546308,42,3,130300,42003130300,1153,826,W,546308,546308,546308,546308,100,100,100,100,1153,100,100,826,100,100
165,42,3,130400,42003130400,1191,681,P,469744,469744,42,3,130400,42003130400,1191,681,P,474126,474126,469156,469156,99.87,99.87,98.95,98.95,1191,100,100,681,100,100
1351,42,3,560400,42003560400,1531,974,P,507627,507627,42,3,130400,42003130400,1191,681,P,474126,474126,4970,4970,0.98,0.98,1.05,1.05,0,0,0,0,0,0
168,42,3,130600,42003130600,3132,1511,P,1391566,1391566,42,3,130600,42003130600,3169,1522,P,1403852,1403852,1345679,1345679,96.7,96.7,95.86,95.86,3093,98.75,97.6,1487,98.41,97.7
1278,42,3,523100,42003523100,4174,1955,P,7192182,6842839,42,3,130600,42003130600,3169,1522,P,1403852,1403852,5374,5374,0.07,0.08,0.38,0.38,4,0.1,0.13,1,0.05,0.07
1361,42,3,561100,42003561100,922,584,P,457565,457565,42,3,130600,42003130600,3169,1522,P,1403852,1403852,43771,43771,9.57,9.57,3.12,3.12,72,7.81,2.27,34,5.82,2.23
1363,42,3,561200,42003561200,1333,839,P,397423,397423,42,3,130600,42003130600,3169,1522,P,1403852,1403852,2,2,0,0,0,0,0,0,0,0,0,0
1365,42,3,561400,42003561400,4254,2627,P,1818543,1818543,42,3,130600,42003130600,3169,1522,P,1403852,1403852,9026,9026,0.5,0.5,0.64,0.64,0,0,0,0,0,0
172,42,3,140100,42003140100,5476,1167,W,1465568,1465568,42,3,140100,42003140100,5476,1167,W,1465568,1465568,1465568,1465568,100,100,100,100,5476,100,100,1167,100,100
173,42,3,140200,42003140200,2447,1137,W,759487,759487,42,3,140200,42003140200,2447,1137,W,759487,759487,759487,759487,100,100,100,100,2447,100,100,1137,100,100
174,42,3,140300,42003140300,3440,1588,W,941737,941737,42,3,140300,42003140300,3440,1588,W,941737,941737,941737,941737,100,100,100,100,3440,100,100,1588,100,100
175,42,3,140400,42003140400,2306,989,W,834344,834344,42,3,140400,42003140400,2306,989,W,834344,834344,834344,834344,100,100,100,100,2306,100,100,989,100,100
176,42,3,140500,42003140500,2054,1167,P,757807,757807,42,3,140500,42003140500,2054,1167,W,755685,755685,755685,755685,99.72,99.72,100,100,2054,100,100,1167,100,100
178,42,3,140600,42003140600,3048,1524,P,1773823,1773823,42,3,140600,42003140600,3002,1490,W,888067,888067,888067,888067,50.07,50.07,100,100,3002,98.49,100,1490,97.77,100
182,42,3,140800,42003140800,4555,2081,P,2385099,2385099,42,3,140800,42003140800,4554,2080,W,1089075,1089075,1089075,1089075,45.66,45.66,100,100,4554,99.98,100,2080,99.95,100
179,42,3,140600,42003140600,3048,1524,P,1773823,1773823,42,3,141000,42003141000,928,479,P,507903,507903,3181,3181,0.18,0.18,0.63,0.63,11,0.36,1.19,10,0.66,2.09
183,42,3,140800,42003140800,4555,2081,P,2385099,2385099,42,3,141000,42003141000,928,479,P,507903,507903,4561,4561,0.19,0.19,0.9,0.9,0,0,0,0,0,0
185,42,3,141000,42003141000,995,516,P,512323,512323,42,3,141000,42003141000,928,479,P,507903,507903,500161,500161,97.63,97.63,98.48,98.48,917,92.16,98.81,469,90.89,97.91
189,42,3,141100,42003141100,1361,625,P,1401010,1233705,42,3,141100,42003141100,1361,625,P,1389506,1226338,1388509,1225405,99.11,99.33,99.93,99.92,1361,100,100,625,100,100
196,42,3,141400,42003141400,5345,2841,P,2190167,2068192,42,3,141100,42003141100,1361,625,P,1389506,1226338,64,0,0,0,0,0,0,0,0,0,0,0
1216,42,3,515400,42003515400,1522,831,P,386134,386134,42,3,141100,42003141100,1361,625,P,1389506,1226338,933,933,0.24,0.24,0.07,0.08,0,0,0,0,0,0
193,42,3,141300,42003141300,5183,2577,P,2498559,2489760,42,3,141300,42003141300,5177,2574,W,898033,898033,898033,898033,35.94,36.07,100,100,5177,99.88,100,2574,99.88,100
197,42,3,141400,42003141400,5345,2841,P,2190167,2068192,42,3,141400,42003141400,5351,2843,P,2137996,2049306,2137357,2048667,97.59,99.06,99.97,99.97,5345,100,99.89,2841,100,99.93
207,42,3,151700,42003151700,4937,2559,P,1195726,1195726,42,3,141400,42003141400,5351,2843,P,2137996,2049306,639,639,0.05,0.05,0.03,0.03,6,0.12,0.11,2,0.08,0.07
194,42,3,141300,42003141300,5183,2577,P,2498559,2489760,42,3,151600,42003151600,2363,1248,P,820505,820505,21672,21672,0.87,0.87,2.64,2.64,4,0.08,0.17,2,0.08,0.16
205,42,3,151600,42003151600,2384,1261,P,832585,832585,42,3,151600,42003151600,2363,1248,P,820505,820505,798833,798833,95.95,95.95,97.36,97.36,2359,98.95,99.83,1246,98.81,99.84
208,42,3,151700,42003151700,4937,2559,P,1195726,1195726,42,3,151700,42003151700,4931,2557,W,1189551,1189551,1189551,1189551,99.48,99.48,100,100,4931,99.88,100,2557,99.92,100
217,42,3,160800,42003160800,2559,1439,W,1046410,1046410,42,3,160800,42003160800,2559,1439,P,1053144,1053144,1046410,1046410,100,100,99.36,99.36,2559,100,100,1439,100,100
218,42,3,160900,42003160900,2872,1888,P,1691773,1257111,42,3,160800,42003160800,2559,1439,P,1053144,1053144,6734,6734,0.4,0.54,0.64,0.64,0,0,0,0,0,0
219,42,3,160900,42003160900,2872,1888,P,1691773,1257111,42,3,160900,42003160900,2872,1888,P,1692632,1250835,1681901,1247239,99.42,99.21,99.37,99.71,2872,100,100,1888,100,100
221,42,3,170200,42003170200,3725,2438,P,1375929,1111915,42,3,160900,42003160900,2872,1888,P,1692632,1250835,228,228,0.02,0.02,0.01,0.02,0,0,0,0,0,0
965,42,3,480300,42003480300,3433,1553,P,3258306,2891826,42,3,160900,42003160900,2872,1888,P,1692632,1250835,10503,3368,0.32,0.12,0.62,0.27,0,0,0,0,0,0
220,42,3,160900,42003160900,2872,1888,P,1691773,1257111,42,3,170200,42003170200,3725,2438,P,1378839,1114825,3138,3138,0.19,0.25,0.23,0.28,0,0,0,0,0,0
222,42,3,170200,42003170200,3725,2438,P,1375929,1111915,42,3,170200,42003170200,3725,2438,P,1378839,1114825,1375701,1111687,99.98,99.98,99.77,99.72,3725,100,100,2438,100,100
223,42,3,170600,42003170600,1864,1113,W,807707,807707,42,3,170600,42003170600,1864,1113,W,807707,807707,807707,807707,100,100,100,100,1864,100,100,1113,100,100
224,42,3,180300,42003180300,2520,1308,P,785504,785504,42,3,180300,42003180300,2500,1291,W,773768,773768,773768,773768,98.51,98.51,100,100,2500,99.21,100,1291,98.7,100
225,42,3,180300,42003180300,2520,1308,P,785504,785504,42,3,180700,42003180700,2011,1069,P,392889,392889,11736,11736,1.49,1.49,2.99,2.99,20,0.79,0.99,17,1.3,1.59
228,42,3,180700,42003180700,1991,1052,W,381153,381153,42,3,180700,42003180700,2011,1069,P,392889,392889,381153,381153,100,100,97.01,97.01,1991,100,99.01,1052,100,98.41
231,42,3,190300,42003190300,1945,1202,P,880497,880497,42,3,190300,42003190300,1945,1202,P,836324,836324,829263,829263,94.18,94.18,99.16,99.16,1945,100,100,1202,100,100
234,42,3,191100,42003191100,2425,1393,P,1601495,1601495,42,3,190300,42003190300,1945,1202,P,836324,836324,4747,4747,0.3,0.3,0.57,0.57,0,0,0,0,0,0
251,42,3,192100,42003192100,19,15,P,935596,519462,42,3,190300,42003190300,1945,1202,P,836324,836324,2314,2314,0.25,0.45,0.28,0.28,0,0,0,0,0,0
