,Neighborhood,y1984,y2017,Change,perc
73,Strip District,435,747,312.0,0.7172413793103448
10,Bluff,4504,6294,1790.0,0.39742451154529307
16,Central Business District,3220,4060,840.0,0.2608695652173913
77,Troy Hill,1820,2283,463.0,0.2543956043956044
50,North Oakland,8708,9602,894.0,0.10266421681212679
70,Squirrel Hill South,15255,16042,787.0,0.05158964274008522
